Department,Department Name,Property Id,Property Name,Address 1,City,State/Province,Postal Code,Property Area(ft²),Primary Property Type ,Year Built,Electricity Use (kWh),Natural Gas Use (therms),Propane Use (kBtu),Water Use (All Water Sources) (kgal),Percent of Electricity that is Green Power,Total Green Power - Onsite and Offsite (kWh),Site Energy Use (kBtu),ENERGY STAR Score,LEED Certified,Location
DPR,Department of Parks and Recreation,1383617,915 LOS ENCINOS SHP,16756 MOORPARK STREET,ENCINO,California,91436,8109,Other,1849,,,,4.2,,,,,,"16756 MOORPARK STREET
ENCINO, California 91436
(34.160627, -118.498521)"
CHP,California Highway Patrol,1337453,ACADEMY,3500 REED AVENUE,WEST SACRAMENTO,California,95605,262756,College/University,1900,3508766.4,78906.9961,,71094.9,0%,0,19862611.9,,,"3500 REED AVENUE
WEST SACRAMENTO, California 95605
(38.592355, -121.557045)"
DMV,Department of Motor Vehicles,1207866,WESTMINSTER OFFICE BUILDING,13700 HOOVER STREET,WESTMINSTER,California,92683,14397,Office,1972,,,,857.3,,,,,,"13700 HOOVER STREET
WESTMINSTER, California 92683
(33.764214, -117.998471)"
CAL TRANS,California Department of Transportation,1386857,REDDING MAINTENANCE STATION,1490 GEORGE DR.,REDDING,California,96003,10975,Other,1900,166200,,,1939,0%,0,567074.5,,,"1490 GEORGE DR.
REDDING, California 96003
(40.628617, -122.373051)"
CAL FIRE,California Department of Forestry and Fire Protection,3940046,CNR-SHU Ono FS 2014 E P Complete,11514 Platina Road,Igo,California,96001,,Fire Station,1899,20075.4,,0,32,0%,0,68497.4,,,"11514 Platina Road
Igo, California 96001
(40.457624, -122.631881)"
CDFW,California Department of Fish and Wildlife,1404751,GRIZZLY ISLAND WA,2548 GRIZZLY ISLAND ROAD,SUISUN CITY,California,94595,29282,Other,1900,878953.8,,,142.5,0%,0,2998990.6,,,"2548 GRIZZLY ISLAND ROAD
SUISUN CITY, California 94595
(38.165024, -121.973729)"
CHP,California Highway Patrol,1337323,COALINGA AREA,125 SOUTH SIXTH STREET,COALINGA,California,93210,4121,Office,1900,82183.9,1425.166689,,525.8,0%,0,422928.3,,,"125 SOUTH SIXTH STREET
COALINGA, California 93210
(36.137875, -120.359936)"
CDFW,California Department of Fish and Wildlife,1743172,CANTARA/NEY SPRINGS WA,4350 Upper Soda Rd,Dunsmuir,California,96025,100,Other,1900,18861.1,,,165,0%,0,64354.2,,,"4350 Upper Soda Rd
Dunsmuir, California 96025
(41.221634, -122.277488)"
CAL TRANS,California Department of Transportation,1386710,Chula Vista Maintenance Station,570   C ST,CHULA VISTA,California,91910,12175,Other,1966,7810,1310.454582,,339.6,0%,0,157693.2,,,"570 C ST
CHULA VISTA, California 91910
(32.648668, -117.094757)"
CAL FIRE,California Department of Forestry and Fire Protection,3940179,CSR-RRU Riverside FS/UH/ECC 2014 E Complete,210 W. San Jacinto St,Perris,California,92570,,Fire Station,1960,1161780.8,,,94.4,0%,0,3963996.5,,,"210 W. San Jacinto St
Perris, California 92570
(33.786579, -117.229677)"
HCD,Housing and Community Development,1331064,ART OCHOA MIGRANT CENTER,901 ARIZONA CIRCLE,GILROY,California,95020,84500,Other,1994,,,,8224,,,,,,"901 ARIZONA CIRCLE
GILROY, California 95020
(36.986344, -121.542616)"
DGS,Department of General Services,1379834,120 R Street Warehouse,805 R Street,Sacramento,California,95814,38530,Non-Refrigerated Warehouse,1954,30478,173.5010815,,165,0%,0,121341,,,"805 R Street
Sacramento, California 95814
(38.572203, -121.499869)"
DPR,Department of Parks and Recreation,1383711,690 BRANNAN ISLAND SRA,17645 STATE HWY 160,RIO VISTA,California,94571,13731,Other,1959,,,,11.9,,,,,,"17645 STATE HWY 160
RIO VISTA, California 94571
(38.11638, -121.694941)"
CAL FIRE,California Department of Forestry and Fire Protection,3940141,CSR-MVU McCain Valley CC 2014 - State-Other MEE no energy meters,2550 McCain Valley Rd ,Boulevard,California,91905,,Fire Station,1899,,,,51.5,,,,,,"2550 McCain Valley Rd
Boulevard, California 91905
(32.686413, -116.262536)"
CMD,California Military Department,3884505,Sacramento (58th Street) (State Owned) (Sold 4/30/2014),1013 58th Street,Sacramento,California,95819,35789,Office,1957,,4856.625092,,3052.6,,,,,,"1013 58th Street
Sacramento, California 95819
(38.562614, -121.433246)"
CDCR,California Department of Corrections & Rehabilitation,4495178,FWF- FOLSOM WOMEN'S FACILITY,570 East Natoma St,Folsom,California,95630,82641,Prison/Incarceration,1986,1171025.4,54564.60294,,14455.2,0%,0,9451999.4,,,"570 East Natoma St
Folsom, California 95630
(38.692635, -121.141763)"
CDFW,California Department of Fish and Wildlife,1382315,RED BLUFF SCREEN SHOP,1760 BIDWELL ST,RED BLUFF,California,96080,12475,Other,1900,59377.4,1133.984838,,58.2,0%,0,315994.4,,,"1760 BIDWELL ST
RED BLUFF, California 96080
(40.156266, -122.247521)"
CAL TRANS,California Department of Transportation,1387013,TARZANA MAINTENANCE STATION,5660   RESEDA BLVD,TARZANA,California,91356,7630,Other - Services,1960,66714,595.235356,,93.5,,0,,,,"5660 RESEDA BLVD
TARZANA, California 91356
(34.174111, -118.536009)"
DPR,Department of Parks and Recreation,1383441,660 CANDLESTICK POINT SRA,1150 CARROLL AVENUE,SAN FRANCISCO,California,94124,66361,Other,1950,,,,165,,,,,,"1150 CARROLL AVENUE
SAN FRANCISCO, California 94124
(37.720332, -122.385096)"
DPR,Department of Parks and Recreation,1388592,915 RIO DE LOS ANGELES SHP,1900 San Fernando Road,LOS ANGELES,California,90056,5600,Other,2007,,,,72.8,,,,,,"1900 San Fernando Road
LOS ANGELES, California 90056
(34.100279, -118.23551)"
DAA,District Agricultural Association,1276501,"DAA 41, DEL NORTE COUNTY FAIRGROUNDS",421 HWY 101 NORTH,CRESCENT CITY,California,95531,92445,Other,1941,,,,165,,,,,,"421 HWY 101 NORTH
CRESCENT CITY, California 95531
(41.751856, -124.184417)"
CAL TRANS,California Department of Transportation,1386819,BURBANK ELECTRICAL STATION,610  S FLOWER ST,BURBANK,California,91502,4000,Non-Refrigerated Warehouse,1960,0,,,0,,0,,,,"610 S FLOWER ST
BURBANK, California 91502
(34.173685, -118.306155)"
CAL TRANS,California Department of Transportation,1386973,MODESTO MAINTENANCE STATION,908 N. EMERALD AVENUE,MODESTO,California,95351,10990,Other,1900,23189,3973.65597,,834.1,0%,0,476486.5,,,"908 N. EMERALD AVENUE
MODESTO, California 95351
(37.647816, -121.020993)"
CAL FIRE,California Department of Forestry and Fire Protection,3940030,CNR-SCU Almaden FS - 2014 E P Complete,20255 McKean Road,San Jose,California,95120,,Fire Station,1978,13944.4,,24104,250.3,0%,0,71682.1,,,"20255 McKean Road
San Jose, California 95120
(37.199155, -121.821889)"
CMD,California Military Department,3926678,Ontario (State Owned),950 North Cucamonga Ave.,Ontario,California,91764,31837,Office,1950,132119.1,1387.485817,,1541.3,0%,0,589539,,,"950 North Cucamonga Ave.
Ontario, California 91764
(34.075472, -117.631997)"
CDFW,California Department of Fish and Wildlife,2862036,ELKHORN SLOUGH ER 2,37 Empire Road,Castroville,California,95012,1,Other,1900,2991.5,,,165,0%,0,10206.9,,,"37 Empire Road
Castroville, California 95012
(36.811947, -121.727215)"
CAL TRANS,California Department of Transportation,1387055,NEVADA CITY (SUTTER/SIERRA REGION) MAINTENANCE,10057 GOLD FLAT ROAD,NEVADA CITY,California,95959,22943,Other - Services,1900,207402,14251.91806,,730.1,0%,0,2132847.7,,,"10057 GOLD FLAT ROAD
NEVADA CITY, California 95959
(39.24748, -121.023097)"
DAA,District Agricultural Association,1359221,"DAA 10, SISKIYOU GOLDEN FAIR",1712 FAIRLANE RD,YREKA,California,96097,210712,Other,1939,,,,165,,,,,,"1712 FAIRLANE RD
YREKA, California 96097
(41.707136, -122.642044)"
CMD,California Military Department,3920503,Oxnard Armory (State Owned),351 S. K Street,Oxnard,California,93030,10105,Office,1950,20759,3067.205917,,484.5,0%,0,377550.5,97,,"351 S. K Street
Oxnard, California 93030
(34.199638, -119.191647)"
CADA,Capitol Area Development Authority,1259234,1622 N  ST SHELLY ARMS APARTMENT COMPLEX,1622 N STREET,SACRAMENTO,California,95814,14000,Multifamily Housing,1950,28627,8637.281409,,165,0%,0,961403.5,,,"1622 N STREET
SACRAMENTO, California 95814
(38.573448, -121.486275)"
CAL TRANS,California Department of Transportation,1387099,Otay Maintenance Station,3310   BEYER BLVD,SAN YSIDRO,California,92173,2639,Other - Services,1980,14922,,,123.4,0%,0,50913.9,,,"3310 BEYER BLVD
SAN YSIDRO, California 92173
(32.56655, -117.061718)"
CAL FIRE,California Department of Forestry and Fire Protection,3940013,CNR-NEU Grass Valley AAB 2014 MEE Federal no meter in ES,13120 Loma Rica Drive,Grass Valley,California,95945,,Fire Station,1982,,,,680,,,,,,"13120 Loma Rica Drive
Grass Valley, California 95945
(39.221609, -121.000574)"
CDVA,California Department of Veterans Affairs,1260065,"California Veterans Home, Barstow",100 E. VETERANS PARKWAY,BARSTOW,California,92311,207548,Senior Care Community,1995,3663826,121941.6463,,21023,0%,0,24695140.5,2,,"100 E. VETERANS PARKWAY
BARSTOW, California 92311
(34.867709, -117.024236)"
CAL TRANS,California Department of Transportation,3928519,06 Materials Lab,1352 W Olive Avenue,Fresno,California,93728,5200,Other - Utility,1958,,,,165,,,,,,"1352 W Olive Avenue
Fresno, California 93728
(36.757443, -119.828192)"
DGS,Department of General Services,1137706,106 STATE RECORD CENTER  and  WHSE,1501 Cebrian Street,WEST SACRAMENTO,California,95691,82682,Non-Refrigerated Warehouse,1969,181253,8841.307091,,216.2,0%,0,1502566.1,,,"1501 Cebrian Street
WEST SACRAMENTO, California 95691
(38.569807, -121.53908)"
CAL TRANS,California Department of Transportation,1386640,BARSTOW MAINTENANCE STATION,1800 Dill Road,BARSTOW,California,92311,13656,Other - Services,1900,109734,17750.0011,,416.7,,0,,,,"1800 Dill Road
BARSTOW, California 92311
(34.885375, -116.99568)"
DMV,Department of Motor Vehicles,1261930,VISALIA OFFICE BUILDING,1711 E. MAIN ST.,VISALIA,California,93292,8064,Office,1900,109574.3,1901.000114,,857.3,0%,0,563967.7,27,,"1711 E. MAIN ST.
VISALIA, California 93292
(36.330206, -119.273688)"
CMD,California Military Department,3917357,San Mateo (State Owned),400 North Humboldt St.,San Mateo,California,94401,21019,Office,1951,33820,2599.853883,,51.6,0%,0,375379.2,,,"400 North Humboldt St.
San Mateo, California 94401
(37.577529, -122.324923)"
CDCR,California Department of Corrections & Rehabilitation,1237701,ECF-ESTRELLA CORRECTIONAL FACILITY (AKA-EPDRYCF),4545 AIRPORT ROAD,PASO ROBLES,California,93447,336778,Prison/Incarceration,1900,841908.9,10257.99976,,6031.6,0%,0,3898393.6,,,"4545 AIRPORT ROAD
PASO ROBLES, California 93447
(35.667364, -120.6409)"
DMV,Department of Motor Vehicles,1261939,FULLERTON OFFICE BUILDING,909 WEST VALENCIA DRIVE,FULLERTON,California,92832,14415,Office,1974,274553.9,1810.000026,,857.3,0%,0,1117778.1,10,,"909 WEST VALENCIA DRIVE
FULLERTON, California 92832
(33.866602, -117.941201)"
CAL TRANS,California Department of Transportation,1387047,ELK GROVE MAINTENANCE STATION,9087 ELKMONT WAY,ELK GROVE,California,95624,7467,Other - Services,1900,29803.3,2696.599822,,495.2,0%,0,371349,,,"9087 ELKMONT WAY
ELK GROVE, California 95624
(38.383457, -121.362276)"
CMD,California Military Department,3921768,Gardena (State Owned),2100 West 154th Street,Gardena,California,90249,11328,Office,1954,42350.9,2033.241474,,76.4,0%,0,347825.4,,,"2100 West 154th Street
Gardena, California 90249
(33.891935, -118.316043)"
CMD,California Military Department,3916669,Pittsburg (State Owned),99 Power Ave.,Pittsburg,California,94565,19065,Office,1949,108170.1,3243.053445,,81.9,0%,0,693381.6,,,"99 Power Ave.
Pittsburg, California 94565
(38.018339, -121.892653)"
CAL TRANS,California Department of Transportation,1387085,WEST REGION MAINTENANCE STATION,4821   ADOHR LN,CAMARILLO,California,93012,15680,Other - Services,1960,101636.7,1185.75141,,908.9,,0,,,,"4821 ADOHR LN
CAMARILLO, California 93012
(34.205283, -119.006828)"
DOJ,Department of Justice,4136984,SANTA BARBARA FORENSIC LABORATORY,155 DAVID LOVE PLAZA,GOLETA,California,93117,13830,Laboratory,2006,549141.8,28169.39433,,90.5,0%,0,4690611.3,,,"155 DAVID LOVE PLAZA
GOLETA, California 93117
(34.434756, -119.839097)"
DMV,Department of Motor Vehicles,1207798,TULELAKE OFFICE BUILDING,399 MAIN ST,TULELAKE,California,96134,862,Office,1984,,,,436.1,,,,,,"399 MAIN ST
TULELAKE, California 96134
(41.956205, -121.476744)"
DPR,Department of Parks and Recreation,1383571,915 LEO CARRILLO SB,35000 PACIFIC COAST HWY,MALIBU,California,90265,23693,Other,1954,,,,5818,,,,,,"35000 PACIFIC COAST HWY
MALIBU, California 90265
(34.046874, -118.923812)"
CAL FIRE,California Department of Forestry and Fire Protection,3940208,CSR-TCU Sonora FS 2014 E MPP,2 South Foreast Rd,Sonora,California,95370,,Fire Station,2009,78857,,,55.7,0%,0,,,,"2 South Foreast Rd
Sonora, California 95370
(37.981467, -120.39101)"
CAL TRANS,California Department of Transportation,1387031,LOS ANGELES REGIONAL TMC,2901  W BROADWAY,LOS ANGELES,California,90041,82300,Office,2007,4459666.1,54690.0836,,1408.6,0%,0,20685391,1,,"2901 W BROADWAY
LOS ANGELES, California 90041
(34.14491, -118.227293)"
CAL TRANS,California Department of Transportation,1386997,VICTORVILLE MAINTENANCE STATION,13693 MARIPOSA ROAD,VICTORVILLE,California,92392,7004,Other - Services,1900,54954,8693.0006,,28.4,0%,0,1056803.1,,,"13693 MARIPOSA ROAD
VICTORVILLE, California 92392
(34.499621, -117.326016)"
CAL TRANS,California Department of Transportation,1386672,SALINAS MAINTENANCE STATION,850 ELVEE DRIVE,SALINAS,California,93901,17232,Other,1900,70819.6,774.615104,,605.2,0%,0,319097.9,,,"850 ELVEE DRIVE
SALINAS, California 93901
(36.667087, -121.631472)"
CMD,California Military Department,3920292,Madera (State Owned),701 East Yosemite Ave.,Madera,California,93638,14015,Office,1951,42274.7,3557.499859,,0,0%,0,499991.1,,,"701 East Yosemite Ave.
Madera, California 93638
(36.966346, -120.05293)"
CMD,California Military Department,3926739,Riverside (State Owned),2501 Fairmount Ct.,Riverside,California,92501,15000,Office,1960,97367.9,3558.090918,,551.1,0%,0,688028.5,,,"2501 Fairmount Ct.
Riverside, California 92501
(33.994931, -117.372108)"
CAL FIRE,California Department of Forestry and Fire Protection,3939987,CNR-LNU Cloverdale FS - 2014 E N Complete,1001 South Cloverdale Blvd.,Cloverdale,California,95425,,Fire Station,2012,33585.9,837.309452,,739.8,0%,0,198326.1,,,"1001 South Cloverdale Blvd.
Cloverdale, California 95425
(38.789152, -123.0168)"
DPR,Department of Parks and Recreation,1388588,720 MONTEREY DISTRICT HEADQUARTERS,2211 GARDEN ROAD,MONTEREY,California,93940,36360,Other,1900,,7304.73346,,21.3,,,730473.3,,,"2211 GARDEN ROAD
MONTEREY, California 93940
(36.586158, -121.859587)"
CAL FIRE,California Department of Forestry and Fire Protection,3939960,CNR-LMU Intermountain CC 2014 E Partial RBO-E/PP Complete ZZ CDF,22 Foothill Rd,Bieber,California,96009,,Fire Station,2014,,,,12614,,,,,,"22 Foothill Rd
Bieber, California 96009
(40.103865, -122.045355)"
CAL TRANS,California Department of Transportation,1386622,SOUTH PETALUMA MAINTENANCE STATION,1485 PETALUMA BLVD SOUTH,PETALUMA,California,94952,8983,Other - Services,1900,25988.7,,,48.6,0%,0,88673.6,,,"1485 PETALUMA BLVD SOUTH
PETALUMA, California 94952
(38.227007, -122.62)"
CADA,Capitol Area Development Authority,1259224,1400 N ST DEAN APARTMENTS,1400 N STREET,SACRAMENTO,California,95814,22400,Multifamily Housing,1929,23473,16934.37619,,165,0%,0,1773527.5,,,"1400 N STREET
SACRAMENTO, California 95814
(38.574307, -121.489549)"
CDPH,California Department of Public Health,1229959,RICHMOND OFFICE BLDG P,850 MARINA BAY PARKWAY,RICHMOND,California,94804,205153,Office,2005,1653815.2,32628.00291,,1374.2,0%,0,8905618.5,97,Silver,"850 MARINA BAY PARKWAY
RICHMOND, California 94804
(37.919816, -122.346703)"
DMV,Department of Motor Vehicles,1207718,GLENDALE OFFICE BUILDING,1335 WEST GLENOAKS BLVD,GLENDALE,California,91201,9991,Office,1961,201120,1525.999811,,648.2,0%,0,838821.4,33,,"1335 WEST GLENOAKS BLVD
GLENDALE, California 91201
(34.166893, -118.283727)"
DPR,Department of Parks and Recreation,1383449,715 CASTLE ROCK SP,15000 SKYLINE BLVD,LOS GATOS,California,95033,12181,Other,1923,959.7,,,32.5,0%,0,3274.3,,,"15000 SKYLINE BLVD
LOS GATOS, California 95033
(37.236079, -122.105205)"
CAL FIRE,California Department of Forestry and Fire Protection,3940180,CSR HQ Fresno 2014 E N Complete,1234 East Shaw,Fresno,California,93710,,Fire Station,1899,303583.4,5321.000198,,8.6,0%,0,1567926.8,,,"1234 East Shaw
Fresno, California 93710
(36.808657, -119.766671)"
CAL FIRE,California Department of Forestry and Fire Protection,3940213,CSR-TCU Tuolumne-Calaveras HQ 2014 E N Complete,785 Mountain Ranch Road,San Andreas,California,92549,,Fire Station,1899,246359.7,1315.338681,,94.4,0%,0,972113.3,,,"785 Mountain Ranch Road
San Andreas, California 92549
(38.191145, -120.670482)"
CAL FIRE,California Department of Forestry and Fire Protection,3939920,CNR-BTU Forest Ranch FS - 2014 E P Complete,5362 Platte Mountain Rd.,Forest Ranch,California,95942,,Fire Station,2012,53088.6,,,51.5,0%,0,,,,"5362 Platte Mountain Rd.
Forest Ranch, California 95942
(39.927792, -121.645213)"
DGS,Department of General Services,1137710,031 ATTORNEY GENERAL CHILD CARE CENTER,1235 H Street,SACRAMENTO,California,95814,4893,Office,1995,46495,1197.47099,,168.1,0%,0,278388,,,"1235 H Street
SACRAMENTO, California 95814
(38.581596, -121.489141)"
DMV,Department of Motor Vehicles,1207772,CAPITOLA OFFICE BUILDING,4200 CAPITOLA RD,CAPITOLA,California,95010,10619,Office,1900,205435.9,3888.666478,,541.1,0%,0,1089814.2,4,,"4200 CAPITOLA RD
CAPITOLA, California 95010
(36.973694, -121.962668)"
CAL TRANS,California Department of Transportation,1386686,WEST POINT MAINTENANCE STATION,22412 HIGHWAY 26,WEST POINT,California,95255,3074,Other,1900,24512.7,,,77,0%,0,83637.5,,,"22412 HIGHWAY 26
WEST POINT, California 95255
(38.400563, -120.526105)"
CMD,California Military Department,3921946,Lancaster Armory (State Owned),47002 45th Street West,Lancaster,California,93536,56640,Office,2009,514207,7899.277069,,155.1,0%,0,2544402.2,92,,"47002 45th Street West
Lancaster, California 93536
(34.723218, -118.210762)"
CAL FIRE,California Department of Forestry and Fire Protection,3939909,CNR-AEU Growlersburg CC - 2014 E P Complete CDF,5440 Longview Lane,Georgetown,California,95634,37221,Fire Station,1967,,,,12386.9,,,,,,"5440 Longview Lane
Georgetown, California 95634
(38.90296, -120.874842)"
DPR,Department of Parks and Recreation,1388570,910 GAVIOTA SP,6000 Highway 101,LOMPOC,California,93436,13646,Other - Recreation,1935,0,,,4266.7,,0,,,,"6000 Highway 101
LOMPOC, California 93436
(34.650053, -120.310443)"
DWR,Department of Water Resources,3877442,"DFD, Delta Operations and Maintenance Center (G)(W)",5280 Bruns Road,Bryon,California,94514,65957,Other,1964,,23249.05098,,1292.6,,,2324905.1,,,"5280 Bruns Road
Bryon, California 94514
(37.792778, -121.604904)"
DWR,Department of Water Resources,4004892,"SFD, New Pearblossom O&M Subcenter (W)",34534 N 116TH ST E,Pearblossom,California,93553,24000,Office,2012,,,,1515,,,,,,"34534 N 116TH ST E
Pearblossom, California 93553
(34.511349, -117.923095)"
CAL FIRE,California Department of Forestry and Fire Protection,3940143,CSR-MVU La Cima CC 2014 - State-Other RBO-MEE no energy meters,15108 Sunrise Hwy,Julian,California,92036,,Fire Station,1967,,,,51.5,,,,,,"15108 Sunrise Hwy
Julian, California 92036
(32.985239, -116.533102)"
EDD,Employment Development Department,1268018,EL CENTRO (EDD - 0204),1550  WEST MAIN ST,EL CENTRO,California,92243,15538.1,Office,1994,342675.3,533.8235287,,526.6,0%,0,1222590.6,35,,"1550 WEST MAIN ST
EL CENTRO, California 92243
(32.792802, -115.570604)"
CMD,California Military Department,3916593,Concord (State Owned),2925 Willow Pass Rd.,Concord,California,94519,16555,Office,1951,19053.1,3655.032228,,12.6,0%,0,430512.5,,,"2925 Willow Pass Rd.
Concord, California 94519
(37.980226, -122.023425)"
DOJ,Department of Justice,1259848,RIVERSIDE FORENSIC LABORATORY,7425   MISSION BLVD,RIVERSIDE,California,92509,38477,Laboratory,1999,1126114.2,19759.3275,,1698.6,0%,0,5818234.8,,,"7425 MISSION BLVD
RIVERSIDE, California 92509
(34.011969, -117.445296)"
DPR,Department of Parks and Recreation,1383421,558 CARNEGIE SVRA,15751 TESLA RD,LIVERMORE,California,94550,36274,Other,1950,138631.8,,,14057.2,0%,0,473011.8,,,"15751 TESLA RD
LIVERMORE, California 94550
(37.641629, -121.591141)"
CDFW,California Department of Fish and Wildlife,1382347,ELK GROVE BIOASSESSMENT LAB,9300 ELK GROVE FLORIN RD,ELK GROVE,California,95624,6976,Laboratory,1900,9784.3,522.7333249,,132.8,0%,0,85657.2,,,"9300 ELK GROVE FLORIN RD
ELK GROVE, California 95624
(38.419849, -121.371658)"
DGS,Department of General Services,11882,091 BLUE ANCHOR BUILDING,1400 - 10th Street,SACRAMENTO,California,95814,24900,Office,1932,244070,7286.604225,,291.1,0%,0,1561427.3,74,,"1400 - 10th Street
SACRAMENTO, California 95814
(38.575624, -121.495516)"
CDFW,California Department of Fish and Wildlife,1382303,MOUNT SHASTA FISH HATCHERY,3 N Old Stage Rd,Mount Shasta,California,96067,36410,Other,1900,229489.2,,,971.8,0%,0,783017.3,,,"3 N Old Stage Rd
Mount Shasta, California 96067
(41.308967, -122.326574)"
CAL TRANS,California Department of Transportation,1387035,12TH STREET MAINTENANCE STATION,320 EAST 12TH STREET,MARYSVILLE,California,95901,11604,Other - Utility,2000,31460.7,1759.705432,,1226.1,0%,0,283314.5,,,"320 EAST 12TH STREET
MARYSVILLE, California 95901
(39.149114, -121.57856)"
DAA,District Agricultural Association,1382821,"DAA 54, COLORADO RIVER FAIR",11995 OLIVE LAKE BLVD,BLYTHE,California,92225,42124,Other,1977,,,,165,,,,,,"11995 OLIVE LAKE BLVD
BLYTHE, California 92225
(33.621431, -114.553631)"
DMV,Department of Motor Vehicles,1261949,INGLEWOOD OFFICE BUILDING,621 NORTH LA BREA AVENUE,INGLEWOOD,California,90302,20824,Office,1900,,660.999941,,552.8,,,,,,"621 NORTH LA BREA AVENUE
INGLEWOOD, California 90302
(33.970772, -118.357099)"
CAL TRANS,California Department of Transportation,3928595,Metro Electrical,1425 S Channing St,Los Angeles,California,90015,8000,Other - Utility,1961,31059,,,12.7,0%,0,105973.3,,,"1425 S Channing St
Los Angeles, California 90015
(34.024797, -118.238124)"
CDCR,California Department of Corrections & Rehabilitation,1237699,"LAC- CALIFORNIA STATE PRISON, LOS ANGELES COUNTY",44750 60TH STREET WEST,LANCASTER,California,93536,1203390,Prison/Incarceration,1993,13621275.4,938510.9699,,196880,28.20%,5349159,158578224.8,,Gold,"44750 60TH STREET WEST
LANCASTER, California 93536
(34.696894, -118.236646)"
DGS,Department of General Services,11887,010 Dept. of Rehabilitation,721 Capitol Mall,SACRAMENTO,California,95814,145800,Office,1957,1277822.7,,,1127.8,0%,0,9452394.3,92,Silver,"721 Capitol Mall
SACRAMENTO, California 95814
(38.578012, -121.498308)"
CAL FIRE,California Department of Forestry and Fire Protection,3939921,CNR-BTU Harts Mill FS - 2014 E P Complete,9476 Oroville Quincy Hwy.,Berry Creek,California,95916,,Fire Station,2009,39373,,46736,51.5,0%,0,181076.7,,,"9476 Oroville Quincy Hwy.
Berry Creek, California 95916
(39.625751, -121.43478)"
DPR,Department of Parks and Recreation,1383429,651 AUSTIN CREEK SRA,17000 ARMSTRONG WOODS RD,GUERNEVILLE,California,95446,13265,Other,1930,1691.2,,,752.1,0%,0,5770.3,,,"17000 ARMSTRONG WOODS RD
GUERNEVILLE, California 95446
(38.531696, -123.002744)"
CAL TRANS,California Department of Transportation,1250012,08 DISTRICT OFFICE (SAN BERNARDINO GOV'T CENTER OFFICE BLDG),464  W 4TH ST,SN BERNRDNO,California,92401,235714,Office,1997,6415302.1,139040.2819,,20203.4,0%,0,35793041.7,44,,"464 W 4TH ST
SN BERNRDNO, California 92401
(34.106445, -117.293385)"
CDFA,California Department of Food and Agriculture,3248660,GLASSY WINGED SHARSHOOTER PROJECT,13720 Rock Pile Road,Arvin,California,93203,,Other,1900,87644.1,,,4639.4,0%,0,299041.5,,,"13720 Rock Pile Road
Arvin, California 93203
(35.229344, -118.788197)"
CAL FIRE,California Department of Forestry and Fire Protection,3940188,CSR-SLU Nipomo FS 2014 E MPP,450 Pioneer St.,Nipomo,California,93444,,Fire Station,2009,40075.5,,,44.4,0%,0,,,,"450 Pioneer St.
Nipomo, California 93444
(35.040482, -120.486392)"
CDCR,California Department of Corrections & Rehabilitation,1237669,CIW-CALIFORNIA INSTITUTION FOR WOMEN,16756   CHINO CORONA RD,CORONA,California,91710,511851,Prison/Incarceration,1952,7887183.5,1063574.96,,190141.1,0%,0,133268569.3,,Silver,"16756 CHINO CORONA RD
CORONA, California 91710
(33.948851, -117.633032)"
CHP,California Highway Patrol,1337401,OAKLAND AREA,3601 TELEGRAPH AVENUE,OAKLAND,California,94609,9771,Office,1900,236814,1830.343749,,184,0%,0,991043.8,4,,"3601 TELEGRAPH AVENUE
OAKLAND, California 94609
(37.824601, -122.265675)"
CDCR,California Department of Corrections & Rehabilitation,1237675,"COR-CALIFORNIA STATE PRISON, CORCORAN",4001 KING AVE,CORCORAN,California,93212,1622770,Prison/Incarceration,1988,55611937.6,1844166.969,,485794,0%,0,374671449,,,"4001 KING AVE
CORCORAN, California 93212
(36.062455, -119.5421)"
CAL FIRE,California Department of Forestry and Fire Protection,3939991,CNR-LNU Occidental FS - 2014 E P Complete,3100 Acreage Lane,Sebastopol,California,95472,,Fire Station,1980,12417.7,,50600,21.5,0%,0,92969.3,,,"3100 Acreage Lane
Sebastopol, California 95472
(38.415289, -122.941137)"
DPR,Department of Parks and Recreation,1383535,950 WILDWOOD CANYON,12441 CANYON DR,YUCAIPA,California,92399,7484,Other - Recreation,1937,,,,12.8,,,,,,"12441 CANYON DR
YUCAIPA, California 92399
(34.028464, -116.997416)"
CAL FIRE,California Department of Forestry and Fire Protection,3940152,CSR-MVU Miller FS 2014 E MPP,9127 W. Lilac Rd,Escondico,California,92028,,Fire Station,1967,8351,,,51.5,0%,0,,,,"9127 W. Lilac Rd
Escondico, California 92028
(33.299715, -117.136175)"
CAL FIRE,California Department of Forestry and Fire Protection,3939958,CNR-HUU Humboldt-Del Norte UH/FS/ECC 2014 E N Complete,118 North Fortuna Blvd.,Fortuna,California,95540,,Fire Station,1950,187681.7,4872.500039,,72,0%,0,1127620.1,,,"118 North Fortuna Blvd.
Fortuna, California 95540
(40.592451, -124.146855)"
CADA,Capitol Area Development Authority,1259208,1510 15TH ST THE VICTORIAN,1510 15TH STREET,SACRAMENTO,California,95814,4500,Multifamily Housing,1915,2347,,,165,0%,0,8008,,,"1510 15TH STREET
SACRAMENTO, California 95814
(38.572541, -121.489119)"
CAL TRANS,California Department of Transportation,1386987,YREKA MAINTENANCE STATION,1745 SOUTH MAIN ST,YREKA,California,96097,13776,Other - Services,1969,80880,,,580,0%,0,275962.6,,,"1745 SOUTH MAIN ST
YREKA, California 96097
(41.70561, -122.643901)"
